valor,categoria,dia_da_semana,essencial,recorrente
64.80,Alimentação,3,1,0
10.99,Lazer,4,0,0
88.40,Combustível,5,1,1
52.30,Alimentação,6,1,0
21.00,Lanche,7,0,0
59.90,Lazer,1,0,0
34.40,Combustível,2,1,1
48.90,Lanche,3,0,0
70.50,Alimentação,4,1,1
39.99,Lazer,5,0,0
98.60,Combustível,6,1,1
11.30,Lanche,7,0,0
129.99,Manutenção,1,1,0
32.50,Lazer,2,0,0
22.70,Lanche,3,0,0
110.00,Combustível,4,1,1
45.00,Alimentação,5,1,0
66.40,Lazer,6,0,1
15.99,Lanche,7,0,0
90.00,Combustível,1,1,1
30.00,Lanche,2,0,0
20.10,Alimentação,3,0,0
125.50,Manutenção,4,1,0
44.90,Lazer,5,0,0
105.70,Combustível,6,1,1
19.95,Lanche,7,0,0
62.30,Alimentação,1,0,0
35.80,Lazer,2,0,1
120.00,Manutenção,3,1,0
56.50,Combustível,4,1,1
26.20,Lanche,5,0,0
74.90,Alimentação,6,0,0
28.99,Lazer,7,0,0
93.00,Combustível,1,1,1
16.50,Lanche,2,0,0
37.99,Alimentação,3,0,1
110.30,Manutenção,4,1,0
48.70,Lazer,5,0,0
91.50,Combustível,6,1,1
25.40,Lanche,7,0,0
42.00,Alimentação,1,1,0
53.30,Lazer,2,0,1
82.99,Combustível,3,1,1
33.70,Lanche,4,0,0
61.50,Alimentação,5,1,0
45.80,Lazer,6,0,0
96.40,Combustível,7,1,1
20.00,Lanche,1,0,0
19.99,Alimentação,2,0,0
139.70,Manutenção,3,1,0
44.30,Lazer,4,0,1
100.00,Combustível,5,1,1
18.45,Lanche,6,0,0
31.99,Alimentação,7,0,0
58.70,Lazer,1,0,0
112.50,Combustível,2,1,1
17.60,Lanche,3,0,0
49.99,Alimentação,4,0,0
101.90,Manutenção,5,1,0
46.10,Lazer,6,0,1
95.60,Combustível,7,1,1
22.40,Lanche,1,0,0
67.99,Alimentação,2,1,0
38.90,Lazer,3,0,0
119.99,Manutenção,4,1,0
55.70,Combustível,5,1,1
24.80,Lanche,6,0,0
79.90,Alimentação,7,1,0
42.00,Lazer,1,0,0
87.90,Combustível,2,1,1
30.30,Lanche,3,0,0
50.50,Alimentação,4,0,1
109.80,Manutenção,5,1,0
43.00,Lazer,6,0,0
92.60,Combustível,7,1,1
13.99,Lanche,1,0,0
69.90,Alimentação,2,1,0
40.00,Lazer,3,0,0
134.90,Manutenção,4,1,0
49.90,Combustível,5,1,1
28.70,Lanche,6,0,0
66.60,Alimentação,7,0,0
120.0,Combustível,1,1,1
50.0,Alimentação,2,0,0
80.0,Manutenção,3,1,0
100.0,Alimentação,4,0,0
60.0,Lazer,5,0,0
130.0,Combustível,5,1,1
70.0,Alimentação,6,0,0
45.0,Lazer,7,0,0
55.0,Lazer,6,0,0
25.0,Alimentação,2,0,0
140.0,Manutenção,3,1,0
35.0,Lazer,5,0,0
15.0,Alimentação,1,0,0
90.0,Combustível,4,1,1
95.0,Combustível,3,1,1
12.0,Lazer,2,0,0
65.0,Combustível,4,1,1
22.50,Alimentação,7,1,1
13.50,Lanche,6,0,0
70.89,Combustível,6,1,1
48.99,Lanche,5,0,0
62.50,Lanche,4,0,0
18.99,Lanche,3,0,0
30.44,Alimentação,2,1,1
55.50,Lazer,1,0,1
75.0,Combustível,5,1,1
85.0,Alimentação,4,0,0
40.0,Lazer,6,0,0
20.0,Alimentação,1,0,0
100.0,Manutenção,3,1,0
110.0,Combustível,1,1,1
95.0,Alimentação,2,0,0
45.0,Lazer,3,0,0
60.0,Manutenção,4,1,0
130.0,Alimentação,5,0,0
70.0,Lazer,6,0,0
50.0,Combustível,7,1,1
80.0,Lanche,1,0,0
90.0,Alimentação,2,1,1
15.0,Lazer,3,0,0
25.0,Combustível,4,1,1
35.0,Alimentação,5,0,0
45.0,Lazer,6,0,0
55.0,Manutenção,7,1,0
65.0,Combustível,1,1,1
75.0,Alimentação,2,0,0
85.0,Lazer,3,0,0
95.0,Manutenção,4,1,0
105.0,Combustível,5,1,1
115.0,Alimentação,6,0,0
125.0,Lazer,7,0,0
135.0,Manutenção,1,1,0
145.0,Combustível,2,1,1
155.0,Alimentação,3,0,0
165.0,Lazer,4,0,0
175.0,Manutenção,5,1,0
185.0,Combustível,6,1,1
195.0,Alimentação,7,0,0
205.0,Lazer,1,0,0
215.0,Manutenção,2,1,0
225.0,Combustível,3,1,1
235.0,Alimentação,4,0,0
245.0,Lazer,5,0,0
255.0,Manutenção,6,1,0
265.0,Combustível,7,1,1
275.0,Alimentação,1,0,0
285.0,Lazer,2,0,0
295.0,Manutenção,3,1,0
305.0,Combustível,4,1,1
315.0,Alimentação,5,0,0
325.0,Lazer,6,0,0
335.0,Manutenção,7,1,0
345.0,Combustível,1,1,1
355.0,Alimentação,2,0,0
365.0,Lazer,3,0,0
375.0,Manutenção,4,1,0
385.0,Combustível,5,1,1
395.0,Alimentação,6,0,0
405.0,Lazer,7,0,0
415.0,Manutenção,1,1,0
425.0,Combustível,2,1,1
435.0,Alimentação,3,0,0
445.0,Lazer,4,0,0
455.0,Manutenção,5,1,0
465.0,Combustível,6,1,1
475.0,Alimentação,7,0,0
485.0,Lazer,1,0,0
495.0,Manutenção,2,1,0
127.45,Alimentação,3,1,1
80.69,Lazer,2,0,1
147.96,Alimentação,3,1,0
116.83,Lazer,1,0,0
146.33,Combustível,5,1,1
61.33,Lanche,6,0,1
72.87,Lazer,2,0,0
125.55,Combustível,7,1,1
38.02,Alimentação,4,1,0
23.71,Lazer,4,0,0
124.77,Lanche,2,1,0
76.81,Combustível,2,1,1
34.27,Manutenção,4,1,1
51.28,Lanche,7,0,1
130.8,Manutenção,3,1,1
136.5,Lazer,1,0,1
124.51,Lanche,2,1,1
35.95,Alimentação,5,1,1
14.44,Lanche,3,0,0
66.52,Lazer,3,0,0
12.56,Lanche,1,0,1
116.51,Lazer,2,0,1
136.26,Combustível,5,1,1
140.21,Alimentação,2,1,1
95.42,Lanche,3,1,0
148.69,Combustível,4,1,1
148.4,Lazer,1,0,0
102.93,Lazer,2,0,1
74.93,Lazer,2,0,0
52.45,Combustível,6,1,1
49.65,Alimentação,6,1,0
85.02,Lazer,2,0,1
64.49,Lazer,3,0,0
127.91,Manutenção,3,1,1
42.21,Lazer,5,0,0
31.79,Lanche,4,1,0
88.73,Lazer,1,0,1
31.91,Combustível,5,1,1
53.17,Combustível,6,1,1
35.03,Lazer,6,0,1
77.18,Combustível,6,1,1
12.41,Alimentação,6,1,1
47.57,Lanche,4,0,0
38.28,Combustível,4,1,1
36.8,Alimentação,6,1,1
109.82,Manutenção,3,1,0
122.93,Alimentação,4,1,1
74.78,Alimentação,3,1,1
19.64,Combustível,6,1,1
130.85,Alimentação,6,1,1
17.46,Manutenção,2,1,1
57.18,Alimentação,4,1,1
104.79,Lazer,3,0,1
74.65,Manutenção,4,1,0
105.12,Combustível,3,1,1
65.2,Lazer,7,0,1
98.61,Combustível,6,1,1
108.55,Lanche,4,0,0
19.49,Combustível,5,1,1
12.24,Alimentação,6,1,0
99.5,Manutenção,6,0,0
45.83,Alimentação,2,1,0
139.93,Lanche,5,0,1
127.0,Alimentação,7,1,1
14.45,Alimentação,4,1,1
42.12,Lanche,4,1,1
139.34,Combustível,1,1,1
147.61,Manutenção,6,0,0
87.08,Lanche,1,0,0
75.57,Alimentação,3,1,0
108.51,Combustível,4,1,1
98.32,Lazer,5,0,0
115.86,Manutenção,2,1,0
93.82,Lanche,6,0,0
124.14,Alimentação,2,1,0
65.76,Combustível,5,1,1
35.4,Lanche,5,0,0
94.91,Lanche,6,0,1
77.42,Lazer,4,0,1
141.78,Lanche,1,1,1
133.79,Combustível,7,1,1
61.63,Combustível,5,1,1
124.0,Combustível,2,1,1
137.46,Alimentação,3,1,0
139.06,Lazer,5,0,1
29.87,Lazer,3,0,1
35.04,Manutenção,7,1,0
49.19,Lazer,5,0,1
85.0,Lazer,6,0,0
138.98,Lazer,5,0,1
18.0,Alimentação,5,1,1
87.31,Alimentação,6,1,0
103.69,Lanche,5,0,1
117.41,Lazer,2,0,1
61.69,Combustível,7,1,1
63.96,Lazer,2,0,1
141.53,Alimentação,5,1,1
101.87,Lanche,6,1,1
149.74,Combustível,7,1,1
115.45,Lanche,5,1,0
43.54,Combustível,1,1,1
69.65,Alimentação,3,1,1
18.24,Combustível,1,1,1
15.31,Alimentação,4,1,0
74.68,Manutenção,1,0,1
39.21,Lanche,1,1,0
81.92,Combustível,1,1,1
68.31,Manutenção,6,1,1
35.01,Lazer,4,0,0
103.33,Lanche,7,0,1
10.67,Lanche,5,1,0
36.0,Lazer,3,0,0
139.17,Alimentação,6,1,0
144.16,Lanche,7,0,0
10.16,Lazer,7,0,1
96.52,Manutenção,3,1,1
82.06,Lanche,2,1,0
138.67,Manutenção,4,1,1
56.67,Alimentação,7,1,1
136.11,Alimentação,1,1,1
105.6,Lanche,4,0,0
69.24,Lazer,2,0,1
109.99,Combustível,6,1,1
102.66,Lazer,6,0,1
84.07,Manutenção,4,1,1
52.53,Manutenção,5,1,1
53.96,Manutenção,5,0,0
148.95,Manutenção,2,1,1
118.59,Combustível,3,1,1
120.67,Combustível,4,1,1
104.13,Combustível,2,1,1
133.02,Lazer,6,0,1
128.15,Lanche,5,1,1
141.94,Lanche,2,0,1
88.72,Combustível,1,1,1
19.92,Combustível,5,1,1
12.12,Manutenção,7,1,1
107.46,Alimentação,4,1,0
119.8,Lanche,3,0,1
17.65,Lazer,4,0,1
107.37,Combustível,2,1,1
108.66,Combustível,2,1,1
25.43,Alimentação,6,1,1
121.89,Lazer,3,0,0
148.76,Combustível,6,1,1
67.76,Manutenção,7,0,1
54.95,Alimentação,4,1,1
11.74,Lazer,6,0,1
44.16,Alimentação,1,1,0
125.96,Alimentação,4,1,0
111.88,Manutenção,2,1,1
50.91,Alimentação,4,1,1
75.2,Combustível,5,1,1
30.46,Lazer,7,0,1
31.54,Manutenção,7,1,1
59.93,Lanche,1,0,1
11.68,Combustível,4,1,1
39.86,Lazer,1,0,0
129.64,Lazer,7,0,0
87.06,Combustível,6,1,1
135.26,Alimentação,1,1,0
121.14,Alimentação,3,1,0
56.15,Alimentação,6,1,0
109.26,Alimentação,3,1,0
144.19,Lanche,3,0,1
89.54,Alimentação,3,1,1
87.36,Lazer,4,0,1
141.67,Lanche,2,1,1
87.27,Lazer,2,0,1
142.68,Manutenção,6,0,0
141.79,Manutenção,5,1,0
33.85,Lanche,1,0,0
79.35,Combustível,5,1,1
106.83,Alimentação,6,1,1
41.85,Lazer,1,0,1
140.02,Combustível,5,1,1
91.93,Manutenção,1,1,0
83.82,Manutenção,4,0,1
68.04,Manutenção,2,0,0
148.67,Alimentação,1,1,1
15.91,Manutenção,3,1,1
15.09,Combustível,5,1,1
140.45,Manutenção,5,1,0
22.31,Manutenção,1,0,0
132.38,Alimentação,4,1,0
110.09,Lazer,3,0,0
110.32,Alimentação,4,1,0
118.26,Lazer,2,0,1
103.24,Combustível,5,1,1
61.46,Alimentação,6,1,0
82.74,Combustível,4,1,1
72.1,Manutenção,2,1,0
83.54,Lanche,5,1,1
115.41,Manutenção,5,0,0
12.69,Lanche,2,1,1
91.32,Alimentação,6,1,1
65.55,Manutenção,3,0,1
26.94,Manutenção,2,1,1
27.67,Combustível,2,1,1
118.34,Lazer,3,0,1
129.42,Alimentação,4,1,0
61.22,Alimentação,1,1,0
90.07,Manutenção,3,0,0
132.81,Combustível,5,1,1
89.17,Combustível,1,1,1
42.44,Lazer,7,0,1
10.48,Lazer,6,0,1
87.05,Manutenção,6,1,1
18.58,Combustível,3,1,1
11.61,Alimentação,6,1,0
21.41,Manutenção,6,0,0
95.53,Lanche,7,1,0
106.67,Lazer,7,0,0
122.69,Combustível,6,1,1
148.9,Lazer,5,0,1
123.53,Manutenção,4,1,1
14.78,Lazer,3,0,1
130.34,Combustível,4,1,1
34.53,Alimentação,1,1,0
149.78,Lazer,6,0,0
143.17,Alimentação,4,1,1
119.53,Alimentação,6,1,0
87.14,Manutenção,1,1,0
78.86,Lanche,5,0,0
72.51,Alimentação,2,1,1
112.49,Combustível,7,1,1
29.49,Lazer,2,0,1
43.05,Alimentação,7,1,1
131.83,Lazer,3,0,0
58.64,Lazer,4,0,1
47.61,Lanche,7,1,1
122.78,Combustível,7,1,1
57.77,Alimentação,1,1,0
133.07,Manutenção,1,1,0
59.56,Manutenção,2,1,1
111.46,Alimentação,4,1,0
21.69,Lanche,6,0,1
145.71,Alimentação,2,1,0
60.22,Lazer,3,0,1
29.27,Alimentação,3,1,1
20.69,Manutenção,7,1,0
126.97,Lazer,4,0,0
81.85,Alimentação,2,1,0
145.81,Combustível,2,1,1
63.17,Lanche,7,0,0
98.07,Alimentação,4,1,0
101.06,Lanche,7,0,0
43.25,Lanche,4,1,1
125.25,Combustível,3,1,1
92.93,Lazer,2,0,1
59.1,Alimentação,2,1,1
118.07,Manutenção,1,1,0
39.04,Lanche,7,0,0
79.65,Lazer,4,0,1
139.05,Manutenção,5,0,1
146.75,Lanche,1,0,0
136.68,Manutenção,2,0,0
83.86,Lanche,2,0,1
136.28,Manutenção,6,0,0
44.85,Manutenção,3,0,1
48.88,Lanche,6,0,0
74.18,Combustível,6,1,1
80.16,Lanche,7,0,1
60.1,Lanche,4,1,0
148.14,Combustível,2,1,1
32.69,Manutenção,3,1,1
105.16,Combustível,3,1,1
52.32,Alimentação,4,1,0
33.68,Lanche,1,0,0
128.37,Alimentação,1,1,0
55.94,Lanche,5,0,0
41.51,Lanche,7,1,1
55.38,Combustível,7,1,1
84.73,Alimentação,2,1,1
105.59,Alimentação,2,1,0
113.12,Lazer,3,0,1
43.58,Lazer,5,0,0
98.45,Lanche,5,1,1
137.61,Alimentação,3,1,1
40.24,Manutenção,3,1,0
137.36,Lanche,6,1,0
102.27,Manutenção,6,0,1
20.31,Combustível,3,1,1
139.46,Manutenção,4,1,1
95.72,Manutenção,1,1,0
118.93,Alimentação,5,1,0
105.6,Manutenção,6,1,1
65.79,Lanche,7,1,0
80.38,Manutenção,5,0,0
14.41,Manutenção,2,1,1
55.54,Lanche,4,1,0
114.41,Combustível,2,1,1
133.61,Lazer,2,0,0
138.12,Lazer,5,0,0
45.52,Combustível,6,1,1
13.08,Alimentação,3,1,1
17.21,Lazer,5,0,0
98.84,Alimentação,4,1,0
22.88,Manutenção,6,0,1
18.15,Lanche,6,1,0
30.32,Combustível,1,1,1
71.85,Lazer,1,0,0
114.84,Lazer,4,0,1
95.83,Lazer,2,0,1
49.37,Lanche,6,0,0
90.68,Lazer,6,0,0
146.49,Combustível,6,1,1
91.81,Lanche,2,1,0
48.05,Lanche,3,0,0
98.66,Lazer,1,0,1
93.09,Lanche,5,1,0
107.21,Lazer,7,0,1
39.07,Combustível,5,1,1
88.67,Manutenção,7,0,0
22.4,Lanche,2,1,0
110.76,Lazer,6,0,1
100.87,Manutenção,5,0,0
42.6,Manutenção,7,1,0
37.36,Lanche,3,1,1
16.68,Lanche,2,1,0
110.9,Lazer,1,0,1
123.39,Alimentação,6,1,0
117.46,Alimentação,4,1,0
109.28,Combustível,4,1,1
134.06,Lanche,2,0,0
32.77,Lanche,3,0,1
131.83,Lanche,1,0,0
131.76,Manutenção,7,1,1
127.18,Manutenção,1,1,1
145.86,Combustível,3,1,1
35.09,Combustível,5,1,1
36.15,Combustível,3,1,1
81.16,Combustível,7,1,1
145.32,Lanche,5,0,0
72.98,Manutenção,4,1,0
81.5,Lanche,2,0,0
21.69,Lanche,4,1,0
28.16,Alimentação,6,1,1
98.91,Manutenção,7,1,0
54.43,Alimentação,3,1,1
63.55,Lazer,6,0,0
72.2,Alimentação,1,1,1
75.62,Lazer,3,0,1
118.98,Lazer,1,0,1
57.92,Manutenção,4,0,1
98.42,Manutenção,3,0,1
121.78,Lazer,5,0,0
43.13,Combustível,7,1,1
54.26,Combustível,4,1,1
120.19,Lazer,5,0,0
52.03,Manutenção,6,1,0
145.27,Manutenção,7,1,0
24.3,Alimentação,2,1,1
52.13,Manutenção,6,1,1
42.0,Lazer,4,0,0
135.65,Manutenção,5,1,0
89.65,Lanche,6,0,0
60.59,Manutenção,3,0,0
46.58,Alimentação,7,1,0
86.5,Lazer,4,0,0
92.84,Lazer,3,0,0
83.46,Lazer,6,0,1
99.64,Lanche,2,0,0
32.98,Alimentação,2,1,1
76.27,Lazer,5,0,0
120.91,Combustível,7,1,1
114.52,Combustível,6,1,1
48.45,Manutenção,5,1,0
22.81,Combustível,6,1,1
44.05,Lazer,7,0,0
95.02,Lazer,6,0,1
93.0,Combustível,1,1,1
119.07,Alimentação,2,1,0
23.72,Combustível,3,1,1
88.01,Combustível,5,1,1
131.08,Manutenção,3,0,0
54.2,Alimentação,1,1,1
142.16,Combustível,7,1,1
55.09,Lanche,4,0,1
138.0,Lazer,4,0,0
59.19,Manutenção,1,0,0
128.7,Lazer,5,0,1
31.81,Combustível,6,1,1
12.89,Lazer,4,0,0
119.37,Manutenção,1,0,1
125.82,Lazer,5,0,0
114.81,Lanche,3,0,1
101.17,Alimentação,6,1,1
137.42,Lazer,6,0,1
129.51,Manutenção,2,0,0
125.58,Lazer,5,0,1
104.97,Combustível,6,1,1
69.92,Lazer,3,0,0
40.75,Alimentação,3,1,0
116.44,Manutenção,6,1,0
12.55,Lazer,5,0,0
77.09,Alimentação,7,1,0
136.33,Lanche,5,1,0
113.87,Alimentação,5,1,1
66.63,Alimentação,3,1,0
72.76,Manutenção,3,1,0
38.56,Manutenção,7,0,0
110.55,Manutenção,1,1,0
94.15,Manutenção,5,1,1
118.83,Lanche,3,0,1
138.54,Lanche,2,1,1
73.57,Alimentação,2,1,1
68.87,Lanche,1,1,1
114.13,Lazer,6,0,0
106.5,Lanche,5,0,0
48.26,Manutenção,1,0,0
88.22,Alimentação,2,1,0
35.12,Manutenção,1,1,1
89.19,Lanche,3,1,1
22.53,Lanche,4,0,1
147.61,Lazer,2,0,1
103.52,Manutenção,5,0,0
117.4,Lazer,5,0,0
63.81,Combustível,7,1,1
132.34,Alimentação,5,1,0
29.38,Alimentação,4,1,0
123.15,Alimentação,2,1,1
112.41,Alimentação,3,1,0
54.67,Alimentação,2,1,1
49.54,Combustível,7,1,1
112.46,Lazer,4,0,1
35.39,Lazer,3,0,1
68.02,Lazer,6,0,0
66.02,Lazer,6,0,1
67.29,Lanche,3,1,0
30.18,Manutenção,6,0,0
50.12,Manutenção,2,0,0
42.2,Lazer,3,0,0
15.5,Combustível,4,1,1
134.16,Lazer,1,0,1
136.05,Lazer,6,0,1
80.68,Manutenção,1,0,1
20.39,Lazer,7,0,0
61.99,Lanche,6,1,0
142.01,Lanche,2,1,0
110.85,Lanche,2,1,0
25.45,Lanche,6,1,1
45.8,Lazer,4,0,0
96.05,Combustível,2,1,1
65.11,Lanche,3,0,0
27.44,Lazer,3,0,1
68.85,Lanche,3,1,0
18.41,Alimentação,2,1,1
136.9,Combustível,7,1,1
92.55,Lazer,5,0,0
110.25,Lanche,4,1,0
45.33,Lazer,2,0,1
65.85,Lanche,5,1,1
109.55,Manutenção,3,0,1
131.47,Manutenção,2,1,0
122.9,Alimentação,2,1,1
60.54,Lanche,4,1,1
132.87,Manutenção,3,0,0
72.66,Lazer,4,0,1
66.2,Manutenção,5,1,0
42.36,Combustível,4,1,1
68.14,Alimentação,2,1,0
59.21,Combustível,5,1,1
90.54,Alimentação,7,1,0
78.3,Combustível,5,1,1
110.89,Manutenção,6,1,0
88.57,Combustível,2,1,1
71.4,Lazer,3,0,1
63.8,Manutenção,2,1,1
84.77,Combustível,5,1,1
122.65,Lanche,4,1,0
64.59,Combustível,4,1,1
21.72,Lazer,3,0,1
43.98,Combustível,6,1,1
73.72,Manutenção,7,0,0
37.35,Alimentação,1,1,1
67.26,Combustível,3,1,1
17.78,Lanche,5,0,1
120.16,Combustível,2,1,1
71.18,Combustível,2,1,1
136.86,Alimentação,2,1,0
45.78,Combustível,1,1,1
94.57,Lanche,1,1,1
30.91,Lazer,3,0,1
91.63,Alimentação,7,1,1
14.64,Manutenção,2,0,1
42.25,Manutenção,2,0,1
69.72,Lanche,2,0,1
26.82,Lanche,6,1,1
43.99,Combustível,7,1,1
28.2,Manutenção,6,0,0
50.98,Lanche,4,1,1
119.2,Alimentação,7,1,0
124.78,Combustível,6,1,1
51.84,Lanche,3,1,0
146.99,Combustível,1,1,1
111.21,Lazer,5,0,1
63.39,Manutenção,2,0,0
13.77,Alimentação,3,1,1
102.65,Lazer,2,0,0
88.19,Lanche,6,1,1
94.83,Lazer,4,0,1
143.75,Lazer,6,0,1
56.83,Lazer,4,0,0
60.56,Combustível,6,1,1
11.35,Combustível,4,1,1
71.76,Alimentação,1,1,1
138.16,Alimentação,5,1,0
139.72,Manutenção,2,0,1
65.83,Lanche,2,0,1
143.79,Alimentação,6,1,0
144.23,Combustível,6,1,1
64.97,Combustível,1,1,1
44.99,Combustível,4,1,1
60.14,Lanche,2,0,0
57.31,Combustível,7,1,1
52.02,Manutenção,1,0,1
129.69,Combustível,3,1,1
41.54,Combustível,6,1,1
137.35,Lazer,2,0,1
54.68,Manutenção,1,1,1
114.02,Lazer,5,0,0
90.86,Lazer,5,0,0
112.9,Manutenção,5,1,0
115.72,Alimentação,5,1,0
87.56,Alimentação,1,1,0
134.55,Combustível,1,1,1
126.04,Lazer,4,0,0
23.41,Alimentação,3,1,0
73.98,Alimentação,6,1,1
69.07,Lazer,6,0,0
63.66,Alimentação,4,1,0
78.36,Lanche,3,0,1
138.59,Lazer,4,0,1
16.86,Alimentação,3,1,1
52.22,Lanche,6,1,0
120.45,Lazer,3,0,0
97.34,Manutenção,7,0,0
139.59,Lazer,7,0,0
73.9,Combustível,7,1,1
59.27,Lanche,1,0,1
105.93,Lazer,5,0,0
13.75,Lanche,6,1,1
85.95,Combustível,4,1,1
128.2,Alimentação,4,1,0
102.51,Combustível,7,1,1
11.52,Lanche,6,0,1
149.57,Lanche,2,0,0
49.17,Combustível,1,1,1
122.69,Lanche,4,1,1
126.14,Combustível,1,1,1
121.71,Lazer,5,0,0
46.94,Alimentação,4,1,0
41.84,Combustível,7,1,1
47.42,Lazer,5,0,0
143.81,Manutenção,7,0,0
24.3,Lanche,7,1,1
23.26,Lazer,6,0,0
98.09,Manutenção,6,0,0
62.24,Manutenção,2,0,0
85.46,Lazer,7,0,1
134.44,Lazer,6,0,1
31.01,Combustível,4,1,1
113.64,Lazer,3,0,1
73.39,Alimentação,3,1,0
11.57,Lazer,7,0,1
75.39,Combustível,6,1,1
93.57,Lazer,6,0,1
96.47,Manutenção,3,1,1
67.32,Lazer,4,0,1
126.57,Alimentação,1,1,0
22.35,Manutenção,3,0,0
85.48,Lazer,4,0,1
125.11,Lazer,4,0,1
140.6,Lazer,5,0,0
73.41,Lanche,1,0,0
48.04,Lazer,1,0,1
117.03,Alimentação,1,1,1
44.82,Alimentação,3,1,0
96.03,Alimentação,7,1,0
117.39,Combustível,5,1,1
63.68,Lanche,5,1,0
27.63,Manutenção,6,1,0
16.4,Lazer,3,0,0
66.22,Lazer,7,0,0
119.21,Lazer,6,0,1
20.47,Alimentação,5,1,1
147.89,Lazer,2,0,0
59.45,Lazer,1,0,0
63.11,Lanche,6,1,1
92.53,Lanche,5,0,0
126.0,Lazer,5,0,1
20.78,Alimentação,1,1,0
61.26,Manutenção,1,1,1
74.28,Lazer,7,0,0
64.98,Lazer,4,0,0
50.3,Combustível,5,1,1
10.02,Lazer,2,0,1
141.38,Alimentação,2,1,1
95.83,Lanche,7,1,1
110.46,Lanche,2,1,0
97.72,Lanche,2,1,0
97.12,Combustível,4,1,1
48.72,Combustível,2,1,1
68.53,Combustível,6,1,1
61.23,Manutenção,2,1,0
67.54,Alimentação,4,1,1
25.95,Manutenção,7,0,0
10.67,Lanche,4,0,1
112.63,Lazer,3,0,1
56.26,Manutenção,4,0,0
125.02,Combustível,2,1,1
81.29,Alimentação,4,1,0
91.15,Lazer,1,0,0
10.19,Manutenção,4,0,0
68.65,Combustível,1,1,1
66.2,Lazer,4,0,0
